images_image,images_label,next,fileName,type1,type2,flip?
"https://dkstatics-public.digikala.com/digikala-products/5439b15d1d350f98a5bd100910e0b5a848632638_1594073629.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستباف پنج متری مدل شش کد 6,178,0.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/58d7430e79c8097f7661867714db5bd084645430_1596462212.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت پنج و نیم متری کد شش-6 یک جفت,178,1.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/3393176.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت ذرع ونیم سی پرشیا کد 161090,178,2.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/120544317.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت شش متری فروغی کد 139911 یک جفت,178,3.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/6755f0b4feb2f1014d2756c44743db117ec35afd_1595823895.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت شش متری مدل لچک ترنج کد 1001,178,4.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/113650404.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت دو متری فرش هريس کد 101455,178,5.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/114503797.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستباف شش متری سی پرشیا کد 171150,178,6.jpg,4,h,0
"https://dkstatics-public.digikala.com/digikala-products/113649143.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت سه و نیم متری فرش هريس کد 101414,178,7.jpg,4,l,0
"https://dkstatics-public-2.digikala.com/digikala-products/110982272.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت نیم متری تمام ابریشم دو رو طرح ترکمن کد 1701,178,8.jpg,4,t,1
"https://dkstatics-public.digikala.com/digikala-products/1286455.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت یازده متری کد 102008,178,9.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/8acf5da6cd404f549c0f16fd401b4abec98f9597_1594493249.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت شش و نیم متری آبتین کد 194,178,10.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/114862577.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت دو متری اصفهان ضیائی کد 1105799,178,11.jpg,1,h,0
"https://dkstatics-public.digikala.com/digikala-products/ca56a4df77777795f83db2d91246e81dbbf39277_1598027726.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستباف دو نیم متری کد 4004,178,12.jpg,2,k,0
"https://dkstatics-public.digikala.com/digikala-products/113648869.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت دو متری فرش هريس کد 101415,178,13.jpg,1,h,0
"https://dkstatics-public.digikala.com/digikala-products/5086840.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت ابریشم یک چهارم متری کد YM.05,178,14.jpg,2,g,1
"https://dkstatics-public-2.digikala.com/digikala-products/110874000.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستباف یک متری گالری نور کد H1786,178,15.jpg,4,l,0
"https://dkstatics-public.digikala.com/digikala-products/c5e409a3990431928446e3ab73f32aec9c89e8bb_1595825846.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",فرش دستبافت سه متری کد 6003,178,16.jpg,4,l,0
